,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-MM,IPSL-CM6A-LR
2020-09-15,3.1737797,5.9911413,3.644307,3.7801187,2.5553515,0.9766674,2.9542258,6.005494,6.132261,2.6923192
2020-10-15,6.0378375,7.590266,5.6729584,5.006765,3.5188532,3.7181685,4.6526012,7.549328,8.606618,4.760853
2020-11-15,8.88004,9.803007,8.919775,6.4197254,6.0541625,7.732704,7.3902154,9.948753,10.772663,8.041583
2020-12-15,10.816643,12.081887,11.290177,8.937613,9.35956,10.25202,9.375955,11.680716,12.388382,11.058997
2021-01-15,12.8871975,13.835285,13.015651,10.974055,11.826567,12.12438,11.286156,13.550772,13.5692835,12.804392
2021-02-15,14.2072735,15.18398,13.702273,12.498879,12.596167,12.631515,11.9578,14.55983,14.128365,13.860056
2021-03-15,14.412098,15.565565,13.984329,12.791757,12.674245,12.877814,12.048887,14.827454,13.909581,14.02524
2021-04-15,13.878003,14.881367,13.568846,12.3077135,12.246381,12.404796,11.53225,14.208684,13.576615,12.624518
2021-05-15,12.177082,12.962976,12.079136,10.740514,10.663549,10.854685,10.134014,11.932492,12.149441,10.631031
2021-06-15,9.510512,10.465097,9.797905,8.566697,7.959552,8.657275,7.747229,9.382203,10.276367,8.05296
2021-07-15,5.600157,7.914225,7.0990076,6.1194787,5.5248995,5.348931,4.927872,7.0857596,8.157584,4.3074183
2021-08-15,2.4778745,6.308914,4.481035,3.9431853,3.11098,2.5794582,3.2991571,5.4026055,6.5824165,1.5177971
2021-09-15,2.05554,5.9237914,3.4953148,3.3464053,2.2139742,1.8518881,3.1533012,5.0862007,6.582462,1.2305272
2021-10-15,5.2735057,7.8372636,6.305888,4.498434,4.21433,3.6873465,4.7706547,6.734498,8.501371,2.7790902
2021-11-15,7.9484825,10.158779,8.421239,6.3846087,6.7963867,6.8387175,7.076119,9.323947,10.31709,4.9982214
2021-12-15,10.438575,12.16564,10.728942,8.777238,9.601713,9.61846,9.3440075,11.498298,12.304991,9.534895
2022-01-15,12.479417,13.91564,12.688173,11.118766,11.897829,11.786668,11.181856,13.040097,13.629901,12.384872
2022-02-15,14.192919,15.055918,13.38222,12.441333,12.382519,13.275672,12.288462,13.8843155,14.112469,13.809239
2022-03-15,14.724371,15.590933,13.821463,12.859681,12.580378,13.493234,12.352718,13.679182,14.111338,14.11809
2022-04-15,14.2605295,14.690052,13.352035,12.390302,12.032194,13.1412525,11.737193,12.945496,13.252855,13.094468
