,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-LM,NorESM2-MM,IPSL-CM6A-LR
2026-12-15,11.336957,11.857677,14.486372,11.924285,9.830777,9.790051,11.657182,10.2901125,12.465625,11.768679,12.210348,10.879152
2027-01-15,13.417986,13.651711,16.70605,13.510456,12.19966,12.135688,12.888485,12.15378,13.971735,13.552581,13.50363,13.235584
2027-02-15,14.694433,14.621341,18.222744,14.316041,13.498896,12.930899,13.516074,13.515272,14.985225,14.007911,14.195211,14.159076
2027-03-15,14.774637,15.10582,18.51709,14.648925,13.913915,13.255315,13.977863,13.709251,15.427397,13.94352,14.090732,14.541925
2027-04-15,14.6421995,14.850313,18.378094,14.430032,13.656279,12.875867,13.626875,12.869924,14.805954,13.151077,13.542512,13.672769
2027-05-15,13.31874,14.036128,16.605024,13.410049,13.023616,11.618993,12.690361,11.626751,13.537298,11.394074,11.907228,12.158401
2027-06-15,10.872345,12.437623,13.059919,12.093611,10.989763,9.741796,11.228448,9.704762,11.185972,9.338392,9.866814,9.748667
2027-07-15,7.7135577,9.371689,9.910954,8.751165,8.470235,6.4393363,8.087667,6.9192863,8.615643,6.9286046,7.455924,6.366828
2027-08-15,5.7307997,4.5991287,7.4230623,5.1551194,6.653421,4.02093,3.6903458,5.2196126,6.1958866,5.012521,5.6607685,3.329951
2027-09-15,5.169388,1.7194799,7.2181582,3.8085616,5.1138873,2.6117554,1.5951698,4.7614894,5.7092123,4.597664,5.396232,2.577013
2027-10-15,6.4414687,5.905258,8.988844,6.470073,5.7431173,3.8257732,4.011456,5.781061,7.3844776,7.790769,7.841109,3.98489
2027-11-15,8.457788,9.306602,11.782309,9.503874,8.102718,6.0068493,8.2463875,7.8703537,9.679478,10.174148,10.266475,7.19485
2027-12-15,10.975559,11.0587435,13.769377,12.231649,10.4810505,9.333305,11.006056,10.109548,11.48191,11.77269,12.094683,10.883509
2028-01-15,13.256362,13.512477,15.875224,13.568383,12.352187,11.39921,13.173401,12.150017,13.466343,13.395392,13.636306,12.961279
2028-02-15,14.482244,15.054174,17.295982,13.991603,13.425589,12.412364,13.638502,13.244405,14.995995,13.8627,14.246719,14.210897
2028-03-15,14.743124,15.4949,18.100754,14.405253,14.017047,12.880122,13.643958,13.447205,15.643799,13.915169,14.2643,14.161548
2028-04-15,14.477653,15.507447,17.579718,14.391633,13.957825,12.425936,13.491012,13.038412,15.107218,12.857732,13.55558,13.350987
2028-05-15,13.161055,14.48681,15.707621,13.321421,13.2571335,11.370404,12.426465,11.741139,13.520296,11.149239,12.032088,12.063691
2028-06-15,10.599441,12.134772,12.5679,11.716811,11.3658,9.50923,10.776206,9.505635,11.317112,8.99607,9.878924,9.378838
2028-07-15,7.546552,9.340945,10.356216,9.082603,8.453473,6.10414,7.8349686,6.931493,8.21486,6.7229304,7.6974564,5.888037
2028-08-15,5.8494687,5.0029616,8.431482,6.7923956,6.0423746,3.0500546,3.3453789,5.044052,5.4993277,4.5127063,5.6681557,2.5705578
2028-09-15,5.4765787,1.9681852,8.119358,5.0556154,4.7566423,0.9793125,0.8642504,4.461033,5.1166677,3.8017423,4.939897,1.6012964
2028-10-15,6.602385,6.0310574,10.005657,7.3374004,5.5285954,2.4142127,3.760836,5.6681776,6.3615417,7.4191513,7.737024,2.8287833
2028-11-15,8.77671,10.274421,11.5135975,9.824276,7.7384877,5.570669,7.9572487,8.436259,9.586025,9.88461,10.705707,6.277849
2028-12-15,11.260382,12.151645,13.892069,11.660113,10.5771475,8.867439,10.125855,10.779681,12.138866,11.18674,12.434135,10.428968
2029-01-15,13.200932,13.683109,16.226898,13.256664,12.537805,11.635642,12.697059,12.237915,14.162279,12.976823,13.8729925,13.178746
2029-02-15,14.461128,14.887261,17.340023,14.190764,13.557196,12.615035,13.490373,13.466926,15.23465,13.641611,14.195983,14.564177
2029-03-15,14.832626,15.590499,17.9809,14.633215,14.106338,13.003425,13.8867235,13.747922,15.737519,13.576302,14.230363,14.951774
2029-04-15,14.388784,15.513633,17.709557,14.193963,13.912124,12.685014,13.713246,13.184526,15.161126,12.909405,13.468001,14.042562
2029-05-15,13.478425,14.543054,15.878841,13.622581,13.053062,11.761301,12.658594,11.897758,13.544708,11.064356,11.868294,12.012485
2029-06-15,10.791739,12.546181,13.075589,12.368378,11.343716,9.886141,10.64936,9.732833,11.164063,8.841484,9.822109,9.812949
2029-07-15,7.4804254,9.515077,10.542637,9.979208,8.813938,7.0406547,7.3928356,6.507457,8.389209,6.813182,7.607759,5.9838524
2029-08-15,5.329428,4.513821,8.185692,7.680549,5.999546,4.946109,2.17675,4.741467,6.014023,4.782115,5.6731563,2.0479321
2029-09-15,4.4681664,2.7718937,7.5340776,4.43838,4.3672557,3.7625833,0.6107704,4.1335545,5.29545,4.269215,5.5120206,0.8083191
2029-10-15,5.618631,6.1493483,9.307632,7.8311825,5.4423094,4.558671,4.0677567,5.3177176,7.025184,7.0717354,8.500138,2.4445539
2029-11-15,8.459827,9.645443,11.520037,9.837086,7.987823,7.055897,7.551941,8.06981,9.540878,9.681778,10.522968,5.6580687
2029-12-15,10.872007,11.9218855,13.631437,11.684419,10.603467,9.640742,10.170405,9.872754,11.863747,11.3361635,11.848732,10.132437
2030-01-15,13.112284,13.774092,15.794413,13.643527,12.32124,11.933417,12.795681,11.523893,13.995164,13.102663,13.610952,12.7864065
2030-02-15,13.865367,14.801497,16.783802,14.303663,13.570158,12.857811,13.530531,12.667975,14.957143,13.66548,14.196905,14.305184
2030-03-15,14.185545,15.605512,17.584911,14.418563,14.00375,12.8571005,13.85294,12.972201,15.514279,13.632303,14.042988,14.228691
2030-04-15,13.917415,15.4821005,17.197222,14.22183,13.890022,12.169347,13.748202,12.830625,14.99577,13.127884,13.20236,13.4637
2030-05-15,12.718872,14.589526,15.460898,13.493076,12.639,11.641799,12.488282,11.86365,13.392803,11.21694,11.986716,11.663146
2030-06-15,10.311802,12.685997,12.516859,11.964364,10.841335,9.872404,10.638327,9.799106,11.523737,8.783528,10.010695,9.321508
2030-07-15,6.9633026,10.211953,9.914855,9.289522,8.716442,6.868043,7.2240567,6.982437,8.561319,5.9306498,7.6286817,6.139771
2030-08-15,5.193538,5.5821896,7.9385633,7.3025565,6.111074,3.4693456,2.6696281,5.3315434,6.386385,3.1732972,5.317545,2.1828127
